"theta","numRej"
0,157
0.0193877551020408,155
0.0387755102040816,153
0.0581632653061225,153
0.0775510204081633,153
0.0969387755102041,154
0.116326530612245,151
0.135714285714286,149
0.155102040816327,147
0.174489795918367,147
0.193877551020408,147
0.213265306122449,146
0.23265306122449,142
0.252040816326531,139
0.271428571428571,137
0.290816326530612,132
0.310204081632653,130
0.329591836734694,126
0.348979591836735,126
0.368367346938775,123
0.387755102040816,121
0.407142857142857,117
0.426530612244898,114
0.445918367346939,110
0.46530612244898,108
0.48469387755102,103
0.504081632653061,99
0.523469387755102,94
0.542857142857143,91
0.562244897959184,89
0.581632653061224,86
0.601020408163265,83
0.620408163265306,79
0.639795918367347,77
0.659183673469388,74
0.678571428571429,68
0.697959183673469,63
0.71734693877551,60
0.736734693877551,57
0.756122448979592,55
0.775510204081633,50
0.794897959183673,46
0.814285714285714,40
0.833673469387755,37
0.853061224489796,33
0.872448979591837,26
0.891836734693878,22
0.911224489795918,11
0.930612244897959,8
0.95,5
