"theta","numRej"
0,628
0.0193877551020408,628
0.0387755102040816,631
0.0581632653061225,629
0.0775510204081633,630
0.0969387755102041,628
0.116326530612245,618
0.135714285714286,610
0.155102040816327,611
0.174489795918367,604
0.193877551020408,597
0.213265306122449,596
0.23265306122449,588
0.252040816326531,581
0.271428571428571,571
0.290816326530612,572
0.310204081632653,562
0.329591836734694,555
0.348979591836735,547
0.368367346938775,534
0.387755102040816,516
0.407142857142857,501
0.426530612244898,490
0.445918367346939,477
0.46530612244898,459
0.48469387755102,441
0.504081632653061,432
0.523469387755102,417
0.542857142857143,407
0.562244897959184,391
0.581632653061224,371
0.601020408163265,354
0.620408163265306,330
0.639795918367347,319
0.659183673469388,305
0.678571428571429,285
0.697959183673469,270
0.71734693877551,253
0.736734693877551,238
0.756122448979592,225
0.775510204081633,213
0.794897959183673,198
0.814285714285714,180
0.833673469387755,158
0.853061224489796,141
0.872448979591837,112
0.891836734693878,100
0.911224489795918,83
0.930612244897959,65
0.95,38
