fixture,n_genes,dispersion_p95_rel,lfc_p95_rel,lfc_corr,lfcSE_p95_rel,lfcSE_corr,pvalue_corr
large_60x2000,2000,0.002209659272725835,0.0001187335325687633,0.9999999999062668,0.0010401567162393389,0.9999959103841326,0.9999975585669563
medium_30x500,500,0.0033397844413877,0.013589259101222002,0.9999999571096431,0.0016058615371129785,0.9999993360973916,0.999994562231422
small_12x200,200,0.006857158816224786,0.06095550364805477,0.9999997459568126,0.0032915681159479617,0.9999920973874394,0.9999150900508061
