"theta","numRej"
0,103
0.0193877551020408,101
0.0387755102040816,100
0.0581632653061225,100
0.0775510204081633,98
0.0969387755102041,98
0.116326530612245,97
0.135714285714286,94
0.155102040816327,92
0.174489795918367,91
0.193877551020408,90
0.213265306122449,87
0.23265306122449,86
0.252040816326531,84
0.271428571428571,83
0.290816326530612,82
0.310204081632653,81
0.329591836734694,78
0.348979591836735,76
0.368367346938775,74
0.387755102040816,72
0.407142857142857,69
0.426530612244898,68
0.445918367346939,64
0.46530612244898,63
0.48469387755102,60
0.504081632653061,60
0.523469387755102,58
0.542857142857143,55
0.562244897959184,56
0.581632653061224,54
0.601020408163265,51
0.620408163265306,48
0.639795918367347,46
0.659183673469388,41
0.678571428571429,38
0.697959183673469,36
0.71734693877551,33
0.736734693877551,32
0.756122448979592,29
0.775510204081633,29
0.794897959183673,28
0.814285714285714,24
0.833673469387755,23
0.853061224489796,20
0.872448979591837,17
0.891836734693878,15
0.911224489795918,11
0.930612244897959,8
0.95,6
